Dedifferentiation,Inflam,Tumor
,Fgf7,Ezr
,Gdf15,Farp1
,Gmfg,Fgd4
,Hgf,Fgd6
,Hmgb1,Flna
,Icam5,Flnb
,Igf1,Fscn1
,Igfbp1,Gemin4
,Igfbp2,Gsn
,Igfbp3,Hdac6
,Igfbp4,Hook3
,Igfbp5,Itsn1
,Igfbp6,Katnb1
,Igfbp7,Kif1b
,Il13,Kif3b
,Il2,Kif3c
,Inha,Kifap3
,Iqgap2,Klc1
,Itga2,Kntc1
,Itpka,Kptn
,Kitl,Lats1
,Lcp1,Llgl1
,Mif,Lrpprc
,Mmp13,Map1s
,Mmp10,Map3k11
,Mmp12,Mapre1
,Mmp2,Mark4
,Mmp3,Mid1
,Mmp9,Mid1ip1
,Nap1l4,Myh10
,Nrg1,Myh9
,Pappa,Myo1e
,Pecam1,Myo9b
,Pgf,Nck1
,Pigf,Nck2
,Plat,Nedd9
,Ptbp1,Net1
,Ptges,Nf1
,Rps6ka5,Nin
,Scamp4,Ophn1
,Selplg,Palld
,Sema3f,Pcgf5
,Serpinb3a,Pcm1
,Serpine2,Pcnt
,Spp1,Pdlim5
,Spx,Pif1
,Timp2,Pkd2
,Tnfrsf11b,Plekhg2
,Tubgcp2,Ppp4r2
,Vegfc,Prex1
,Vgf,Pxn
,Wnt16,Rab3gap1
,Wnt2,Rabgap1
,,Ralbp1
,,Ranbp9
,,Rapgef5
,,Rapgef6
,,Rasa1
,,Rasa2
,,Rhof
,,Rhot2
,,Rictor
,,Rock1
,,Sac3d1
,,Sass6
,,Septin9
,,Shroom1
,,Shroom2
,,Sorbs2
,,Sos1
,,Sptan1
,,Sptbn1
,,Ssh2
,,Stau1
,,Stk38l
,,Sun2
,,Synpo
,,Taok2
,,Tbcd
,,Tiam1
,,Tlk1
,,Trio
,,Tsc1
,,Tuba4a
,,Tubd1
,,Tubgcp2
,,Tubgcp3
,,Tubgcp5
,,Tubgcp6
,,Uxt
,,Vcl
,,Wasf1
,,Wasf2
,,Wasl
,,Abat
,,Abcc5
,,Abhd4
,,Acvr1b
,,Ada
,,Aen
,,Ak1
,,Alox8
,,Ankra2
,,Apaf1
,,App
,,Atf3
,,Baiap2
,,Bak1
,,Bax
,,Blcap
,,Bmp2
,,Btg1
,,Btg2
,,Casp1
,,Ccnd2
,,Ccnd3
,,Ccng1
,,Ccnk
,,Cd81
,,Cd82
,,Cdh13
,,Cdk5r1
,,Cdkn2aip
,,Cdkn2b
,,Cebpa
,,Cgrrf1
,,Clca2
,,Coq8a
,,Csrnp2
,,Ctsd
,,Ctsf
,,Cyfip2
,,Dcxr
,,Ddb2
,,Ddit3
,,Ddit4
,,Def6
,,Dgka
,,Dnttip2
,,Dram1
,,Ei24
,,Elp1
,,Epha2
,,Ephx1
,,Eps8l2
,,Ercc5
,,F2r
,,Fam162a
,,Fas
,,Fbxw7
,,Fdxr
,,Fgf13
,,Fos
,,Foxo3
,,Fuca1
,,Gadd45a
,,Gls2
,,Gm2a
,,Gpx2
,,H1f2
,,H2ac25
,,H2aj
,,Hbegf
,,Hdac3
,,Hexim1
,,Hint1
,,Hmox1
,,Hras
,,Hspa4l
,,Ier3
,,Ier5
,,Ifi30
,,Il1a
,,Inhbb
,,Ip6k2
,,Irag2
,,Irak1
,,Iscu
,,Itgb4
,,Jag2
,,Jun
,,Kif13b
,,Klf4
,,Klk8
,,Krt17
,,Ldhb
,,Lif
,,Mapkapk3
,,Mdm2
,,Mknk2
,,Mxd1
,,Mxd4
,,Ndrg1
,,Nhlh2
,,Ninj1
,,Nol8
,,Notch1
,,Nudt15
,,Nupr1
,,Osgin1
,,Pdgfa
,,Perp
,,Phlda3
,,Pidd1
,,Pitpnc1
,,Plk2
,,Plk3
,,Plxnb2
,,Pmm1
,,Polh
,,Pom121
,,Ppp1r15a
,,Prkab1
,,Prmt2
,,Procr
,,Ptpn14
,,Ptpre
,,Pvt1
,,Rab40c
,,Rad9a
,,Ralgds
,,Rap2b
,,Rb1
,,Rchy1
,,Retsat
,,Rgs16
,,Rhbdf2
,,Rnf19b
,,Rpl36
,,Rps12
,,Rps27l
,,Rrad
,,Rrp8
,,Rxra
,,S100a10
,,S100a4
,,Sat1
,,Sdc1
,,Sec61a1
,,Serpinb5
,,Sertad3
,,Sesn1
,,Sfn
,,Slc19a2
,,Slc35d1
,,Slc3a2
,,Slc7a11
,,Socs1
,,Sp1
,,Sphk1
,,St14
,,Steap3
,,Stom
,,Tap1
,,Tax1bp3
,,Tchh
,,Tcn2
,,Tgfa
,,Tm4sf1
,,Tm7sf3
,,Tnfsf9
,,Tnni1
,,Tob1
,,Tpd52l1
,,Tprkb
,,Traf4
,,Trafd1
,,Triap1
,,Trib3
,,Trp63
,,Tsc22d1
,,Tspyl2
,,Txnip
,,Upp1
,,Vamp8
,,Vdr
,,Vwa5a
,,Wrap73
,,Wwp1
,,Xpc
,,Zbtb16
,,Zfp365
,,Zfp36l1
,,Zmat3
